Nazwa zawodów;Data_przetworzona;miesiac;rok;Dystans_czyszczony;Miejsce_przetworzone;WOJEWODZTWO;gorskie
Warta Challenge Marathon&Half;08-02-2025;luty;2025;42.195 km;BIEDRUSKO;WIELKOPOLSKIE;0
Turbacz Winter Trail;08-02-2025;luty;2025;10.5 km, 21 km, 47 km;NOWY TARG;MAŁOPOLSKIE;1
Rudawy Zimowy Festiwal Biegowy;08-02-2025;luty;2025;21 km, 44.5 km, 59.5 km;KARPNIKI;DOLNOŚLĄSKIE;1
Nic Paprocański;08-02-2025;luty;2025;42.195 km;TYCHY;ŚLĄSKIE;0
Grand Prix CITY TRAIL;08-02-2025;luty;2025;5 km;LUBLIN;LUBELSKIE;0
Silesia Race;08-02-2025;luty;2025;25 km;OLSZTYN;ŚLĄSKIE;0
Cross maraton u Ryśka vol 69;08-02-2025;luty;2025;42.5 km;WIELUŃ;ŁÓDZKIE;0
Witunia Weekend Maraton (13/2025);08-02-2025;luty;2025;42.195 km;WITUNIA;KUJAWSKO-POMORSKIE;0
Bydgoszcz na Orientację;08-02-2025;luty;2025;7 km;BYDGOSZCZ;KUJAWSKO-POMORSKIE;0
XXII Zimowy Bieg Trzech Jezior;08-02-2025;luty;2025;15 km;TRZEMESZNO;WIELKOPOLSKIE;0
Rudawy Zimowy Festiwal Biegowy;08-02-2025;luty;2025;60 km;JANOWICE WIELKIE;DOLNOŚLĄSKIE;0
Grand Prix CITY TRAIL;08-02-2025;luty;2025;5 km;POZNAŃ;WIELKOPOLSKIE;0
IV Zimowy Wielki Las;08-02-2025;luty;2025;;WOLA ZGŁOBIEŃSKA;PODKARPACKIE;0
Wesołe Biegi Górskie 360;08-02-2025;luty;2025;10 km;WARSZAWA;MAZOWIECKIE;0
Witunia Weekend Maraton (14/2025);09-02-2025;luty;2025;42.195 km;WITUNIA;KUJAWSKO-POMORSKIE;0
"Bieg Urodzinowy Gdyni
Bieg 1926";09-02-2025;luty;2025;1.926 km, 10 km;GDYNIA;POMORSKIE;0
Bieg Urodzinowy Gdyni;09-02-2025;luty;2025;1.926 km, 10 km;GDYNIA;POMORSKIE;0
IX Grand Prix Zadyszki Oświęcim;09-02-2025;luty;2025;7 km;OŚWIĘCIM;MAŁOPOLSKIE;0
"Gdynia, ""Bieg Urodzinowy Gdyni z Decathlon""";09-02-2025;luty;2025;;GDYNIA;POMORSKIE;0
Zimowa Zawierucha 2025;09-02-2025;luty;2025;5 km, 21 km;BOBROWNIKI;KUJAWSKO-POMORSKIE;0
Bydgoszcz na Orientację;09-02-2025;luty;2025;7 km;BYDGOSZCZ;KUJAWSKO-POMORSKIE;0
Zimowa Zawierucha;09-02-2025;luty;2025;21.1 km;BOBROWNIKI;KUJAWSKO-POMORSKIE;0
10 biegów na 10-lecie;09-02-2025;luty;2025;7 km;LUBLINIEC;ŚLĄSKIE;0
Chwałowicki Maraton Napoleoński;09-02-2025;luty;2025;42.2 km;CHWAŁOWICE;MAŁOPOLSKIE;0
TARNOBRZESKI BIEG RODZINNY;09-02-2025;luty;2025;5 km, 10 km;TARNOBRZEG;PODKARPACKIE;0
Grand Prix CITY TRAIL;09-02-2025;luty;2025;5 km;ŁÓDŹ;ŁÓDZKIE;0
Grand Prix CITY TRAIL;09-02-2025;luty;2025;5 km;SZCZECIN;ZACHODNIOPOMORSKIE;0
Keep Run Malta #49;11-02-2025;luty;2025;5 km;POZNAŃ;WIELKOPOLSKIE;0
BOTANICZNA PIĄTKA Edycja Zimowa w Ogrodzie Świateł;14-02-2025;luty;2025;5 km;MIKOŁÓW;ŚLĄSKIE;0
Dzieci - BOTANICZNA PIĄTKA Edycja Zimowa w Ogrodzie Świateł;14-02-2025;luty;2025;0.15 km, 0.3 km, 0.5 km, 1 km;MIKOŁÓW;ŚLĄSKIE;0
IX Ultra Śledź Puszczy Knyszyńskiej;14-02-2025;luty;2025;170 km;SUPRAŚL;PODLASKIE;0
Botaniczna Piątka;14-02-2025;luty;2025;5 km;MIKOŁÓW;ŚLĄSKIE;0
"Supraśl, ""IX Ultra Śledź Puszczy Knyszyńskiej""";14-02-2025;luty;2025;;SUPRAŚL;PODLASKIE;0
Koliba Łomnicka;15-02-2025;luty;2025;15 km;ŁOMNICA;DOLNOŚLĄSKIE;1
XVI Półmaraton Komandosa;15-02-2025;luty;2025;21 km;WARSZAWA;MAZOWIECKIE;0
RPG - Ryterska Pętla Górska - Bieg godzinny;15-02-2025;luty;2025;1 km;RYTRO;MAŁOPOLSKIE;0
XXV Ogólnopolski Bieg Grzmią Pod Stoczkiem Armaty;15-02-2025;luty;2025;10 km;STOCZEK ŁUKOWSKI;LUBELSKIE;0
Bieg Pamięci Sybiru;15-02-2025;luty;2025;5 km;WROCŁAW;DOLNOŚLĄSKIE;0
Bieg Wyzwolenia;15-02-2025;luty;2025;10 km;CHOROSZCZ;PODLASKIE;0
"Wilcze Gronie
Zimowy Bieg Górski";15-02-2025;luty;2025;17 km;RAJCZA;ŚLĄSKIE;0
Ryterska Pętla Górska;15-02-2025;luty;2025;1 km;RYTRO;MAŁOPOLSKIE;0
"1 RZESZOWSKI BIEG WALENTYNKOWY BIEG ""SINGLI""";15-02-2025;luty;2025;;RZESZÓW;PODKARPACKIE;0
"1 RZESZOWSKI BIEG WALENTYNKOWY BIEG ""PAR""";15-02-2025;luty;2025;;RZESZÓW;PODKARPACKIE;0
Zimowy Maraton na Orientację ZiMnO;15-02-2025;luty;2025;50 km;ZAGÓRZE;MAŁOPOLSKIE;0
Bieg Zdobywców Modyni;15-02-2025;luty;2025;8 km;MŁYŃCZYSKA;MAŁOPOLSKIE;0
